Year,Plot,Achmi,Agrsm,Amoca,Petca,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,Monfi,Solri,Panvi,Petpu,Poapr,Schsc,Sornu,AbvBioAnnProd
2002,X220,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,372.862
2002,X221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.644
2002,X223,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,158.009
2002,X224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143.256
2002,X225,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,209.946
2002,X227,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,455.705
2002,X229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,158.774
2002,X230,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,149.779
2002,X232,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,686.611
2002,X233,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,365.551
2002,X234,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,350.271
2002,X235,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,525.653
2002,X236,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,312.221
2002,X237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100.367
2002,X239,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,447.104
2002,X242,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,309.413
2002,X253,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,415.394
2002,X255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.238
2002,X256,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.917
2002,X257,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,568.405
2002,X259,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,290.183
2002,X265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,206.581
2002,X266,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,313.159
2002,X267,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,215.1
2002,X268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113.778
